gaze_x,gaze_y,inout_score,in_frame,head_box_xmin,head_box_ymin,head_box_xmax,head_box_ymax,distance_from_center,json_path,person_id,label,frame_file
34,34,9.383470569446217e-06,False,341.84375,238.8671875,1111.15625,715.1328125,2.8284271247461903,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0000_gaze.json,person_1,scripted,frame_0000_gaze.json
34,34,5.430174132925458e-05,False,369.0,254.390625,1110.0,715.359375,2.8284271247461903,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0001_gaze.json,person_1,scripted,frame_0001_gaze.json
34,34,2.9168102628318593e-05,False,374.40625,256.0078125,1097.09375,716.9921875,2.8284271247461903,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0002_gaze.json,person_1,scripted,frame_0002_gaze.json
34,34,4.597461156663485e-05,False,379.3125,259.1796875,1078.6875,715.0703125,2.8284271247461903,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0003_gaze.json,person_1,scripted,frame_0003_gaze.json
34,35,2.6675197659642436e-05,False,374.99609375,269.125,1019.00390625,717.375,3.605551275463989,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0004_gaze.json,person_1,scripted,frame_0004_gaze.json
34,35,6.1554114836326335e-06,False,367.9921875,272.671875,1096.5078125,715.828125,3.605551275463989,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0005_gaze.json,person_1,scripted,frame_0005_gaze.json
31,63,9.210123971570283e-05,False,355.015625,272.171875,1135.984375,715.328125,31.016124838541646,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0006_gaze.json,person_1,scripted,frame_0006_gaze.json
35,63,0.03145027905702591,False,361.6484375,266.46875,1253.3515625,704.53125,31.144823004794873,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0007_gaze.json,person_1,scripted,frame_0007_gaze.json
34,63,0.07132882624864578,False,361.125,278.03125,1078.875,713.96875,31.064449134018133,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0008_gaze.json,person_1,scripted,frame_0008_gaze.json
32,36,0.0027010554913431406,False,352.125,283.84375,1069.875,714.15625,4.0,C:\Users\muham\PycharmProjects\gazelle\gaze_output\person_1\scripted\data\frame_0009_gaze.json,person_1,scripted,frame_0009_gaze.json
